É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/05/31 13:19:27

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
2011/5/9,13.9,8,1,10.5,8,1,60,8,1
2011/5/10,13.5,8,1,9.4,8,1,81,8,1
2011/5/11,13.5,8,1,9.1,8,1,67,8,1
2011/5/12,19.5,8,1,12.2,8,1,42,8,1
2011/5/13,12.9,8,1,10.1,8,1,71,8,1
2011/5/14,12.3,8,1,8.4,8,1,66,8,1
2011/5/15,9.8,8,1,6.8,8,1,70,8,1
2011/5/16,15.6,8,1,11.2,8,1,68,8,1
2011/5/17,15.2,8,1,10.7,8,1,68,8,1
2011/5/18,20.2,8,1,14.1,8,1,50,8,1
2011/5/19,17.1,8,1,13.8,8,1,67,8,1
2011/5/20,19.6,8,1,13.7,8,1,79,8,1
2011/5/21,15.3,8,1,12.9,8,1,92,8,1
2011/5/22,13.4,8,1,10.5,8,1,84,8,1
2011/5/23,9.8,8,1,8.5,8,1,82,8,1
2011/5/24,17.8,8,1,11.9,8,1,74,8,1
2011/5/25,17.5,8,1,13.0,8,1,74,8,1
2011/5/26,24.4,8,1,15.1,8,1,63,8,1
2011/5/27,21.4,8,1,16.0,8,1,61,8,1
2011/5/28,23.0,8,1,16.6,8,1,74,8,1
2011/5/29,20.0,8,1,15.7,8,1,82,8,1
2011/5/30,19.3,8,1,15.3,8,1,60,8,1
2011/5/31,19.1,8,1,12.4,8,1,57,8,1
2011/6/1,17.9,8,1,11.8,8,1,56,8,1
2011/6/2,16.0,8,1,12.8,8,1,68,8,1
2011/6/3,19.7,8,1,15.3,8,1,77,8,1
2011/6/4,17.2,8,1,14.0,8,1,82,8,1
2011/6/5,21.9,8,1,17.1,8,1,66,8,1
2011/6/6,21.5,8,1,15.3,8,1,77,8,1
2011/6/7,25.4,8,1,17.5,8,1,70,8,1
2011/6/8,26.8,8,1,20.7,8,1,58,8,1
2011/6/9,24.1,8,1,19.4,8,1,68,8,1
2011/6/10,23.5,8,1,18.3,8,1,77,8,1
2011/6/11,21.9,8,1,17.7,8,1,82,8,1
2011/6/12,17.8,8,1,15.6,8,1,84,8,1
2011/6/13,18.0,8,1,15.2,8,1,87,8,1
2011/6/14,14.9,8,1,13.7,8,1,92,8,1
2011/6/15,17.5,8,1,14.0,8,1,79,8,1
2011/6/16,23.6,8,1,16.4,8,1,70,8,1
2011/6/17,26.2,8,1,19.0,8,1,66,8,1
2011/6/18,19.8,8,1,17.2,8,1,78,8,1
2011/6/19,22.9,8,1,18.1,8,1,79,8,1
2011/6/20,25.2,8,1,20.2,8,1,73,8,1
2011/6/21,29.3,8,1,23.4,8,1,59,8,1
2011/6/22,29.3,8,1,22.2,8,1,74,8,1
2011/6/23,18.3,8,1,16.4,8,1,88,8,1
2011/6/24,17.5,8,1,14.7,8,1,79,8,1
2011/6/25,17.1,8,1,14.0,8,1,64,8,1
2011/6/26,23.2,8,1,16.4,8,1,58,8,1
2011/6/27,20.1,8,1,17.1,8,1,73,8,1
2011/6/28,26.3,8,1,20.9,8,1,72,8,1
2011/6/29,30.3,8,1,23.2,8,1,65,8,1
2011/6/30,26.4,8,1,21.4,8,1,72,8,1
2011/7/1,23.5,8,1,18.6,8,1,86,8,1
2011/7/2,24.8,8,1,18.7,8,1,82,8,1
2011/7/3,27.2,8,1,21.9,8,1,75,8,1
2011/7/4,22.9,8,1,21.4,8,1,84,8,1
2011/7/5,27.1,8,1,22.2,8,1,70,8,1
2011/7/6,27.8,8,1,23.2,8,1,70,8,1
2011/7/7,28.8,8,1,24.2,8,1,67,8,1
2011/7/8,24.4,8,1,22.3,8,1,84,8,1
2011/7/9,28.4,8,1,22.9,8,1,80,8,1
2011/7/10,23.7,8,1,21.4,8,1,89,8,1
2011/7/11,27.3,8,1,23.0,8,1,80,8,1
2011/7/12,29.9,8,1,24.3,8,1,73,8,1
2011/7/13,27.5,8,1,23.0,8,1,83,8,1
2011/7/14,24.5,8,1,22.7,8,1,90,8,1
2011/7/15,23.4,8,1,21.0,8,1,79,8,1
2011/7/16,20.6,8,1,19.2,8,1,87,8,1
2011/7/17,23.0,8,1,20.1,8,1,91,8,1
2011/7/18,22.6,8,1,19.9,8,1,91,8,1
2011/7/19,26.1,8,1,20.4,8,1,87,8,1
2011/7/20,26.6,8,1,21.3,8,1,70,8,1
2011/7/21,25.2,8,1,19.2,8,1,66,8,1
2011/7/22,24.2,8,1,19.1,8,1,63,8,1
2011/7/23,24.1,8,1,19.9,8,1,65,8,1
2011/7/24,26.5,8,1,20.6,8,1,70,8,1
2011/7/25,27.7,8,1,22.7,8,1,71,8,1
2011/7/26,27.4,8,1,22.5,8,1,77,8,1
2011/7/27,28.0,8,1,23.6,8,1,79,8,1
2011/7/28,30.8,8,1,25.1,8,1,74,8,1
2011/7/29,28.7,8,1,24.2,8,1,76,8,1
2011/7/30,25.7,8,1,22.9,8,1,79,8,1
2011/7/31,27.6,8,1,23.1,8,1,66,8,1
2011/8/1,25.9,8,1,22.1,8,1,70,8,1
2011/8/2,27.5,8,1,21.7,8,1,66,8,1
2011/8/3,29.6,8,1,23.2,8,1,64,8,1
2011/8/4,28.4,8,1,24.4,8,1,74,8,1
2011/8/5,30.4,8,1,25.7,8,1,76,8,1
2011/8/6,31.9,8,1,25.6,8,1,77,8,1
2011/8/7,30.4,8,1,25.8,8,1,75,8,1
2011/8/8,31.8,8,1,25.8,8,1,74,8,1
2011/8/9,30.6,8,1,25.9,8,1,74,8,1
2011/8/10,30.7,8,1,27.3,8,1,73,8,1
2011/8/11,33.8,8,1,28.9,8,1,53,8,1
2011/8/12,27.4,8,1,24.7,8,1,57,8,1
2011/8/13,30.6,8,1,24.6,8,1,60,8,1
2011/8/14,27.5,8,1,24.1,8,1,78,8,1
2011/8/15,28.3,8,1,23.8,8,1,89,8,1
2011/8/16,22.6,8,1,20.7,8,1,93,8,1
2011/8/17,25.9,8,1,21.9,8,1,78,8,1
2011/8/18,26.4,8,1,22.6,8,1,70,8,1
2011/8/19,26.7,8,1,22.4,8,1,68,8,1
2011/8/20,25.0,8,1,21.4,8,1,75,8,1
2011/8/21,26.4,8,1,22.0,8,1,71,8,1
2011/8/22,27.3,8,1,22.3,8,1,64,8,1
2011/8/23,21.5,8,1,20.2,8,1,79,8,1
2011/8/24,26.3,8,1,22.3,8,1,76,8,1
2011/8/25,24.3,8,1,21.6,8,1,81,8,1
2011/8/26,26.4,8,1,21.2,8,1,76,8,1
2011/8/27,29.0,8,1,22.8,8,1,65,8,1
2011/8/28,29.8,8,1,23.3,8,1,67,8,1
2011/8/29,28.7,8,1,23.7,8,1,67,8,1
2011/8/30,27.7,8,1,23.8,8,1,74,8,1
2011/8/31,26.9,8,1,24.4,8,1,74,8,1
2011/9/1,32.0,8,1,26.0,8,1,73,8,1
2011/9/2,24.7,8,1,22.1,8,1,92,8,1
2011/9/3,28.6,8,1,22.8,8,1,89,8,1
2011/9/4,27.3,8,1,22.8,8,1,87,8,1
2011/9/5,25.3,8,1,23.5,8,1,83,8,1
2011/9/6,23.6,8,1,20.6,8,1,89,8,1
2011/9/7,24.1,8,1,20.4,8,1,68,8,1
2011/9/8,28.3,8,1,23.6,8,1,54,8,1
2011/9/9,24.6,8,1,21.8,8,1,71,8,1
2011/9/10,23.1,8,1,19.6,8,1,68,8,1
2011/9/11,21.5,8,1,18.3,8,1,65,8,1
2011/9/12,21.8,8,1,19.3,8,1,90,8,1
2011/9/13,23.7,8,1,19.5,8,1,83,8,1
2011/9/14,25.1,8,1,19.5,8,1,75,8,1
2011/9/15,25.3,8,1,21.0,8,1,81,8,1
2011/9/16,29.1,8,1,24.3,8,1,76,8,1
2011/9/17,25.5,8,1,21.0,8,1,83,8,1
2011/9/18,19.5,8,1,16.7,8,1,83,8,1
2011/9/19,17.4,8,1,15.1,8,1,65,8,1
2011/9/20,20.4,8,1,15.7,8,1,64,8,1
2011/9/21,16.4,8,1,14.4,8,1,71,8,1
2011/9/22,15.9,8,1,14.0,8,1,76,8,1
2011/9/23,18.7,8,1,14.8,8,1,69,8,1
2011/9/24,20.2,8,1,15.3,8,1,73,8,1
2011/9/25,22.9,8,1,16.5,8,1,69,8,1
2011/9/26,23.4,8,1,17.6,8,1,73,8,1
2011/9/27,23.4,8,1,17.3,8,1,71,8,1
2011/9/28,24.6,8,1,17.7,8,1,64,8,1
2011/9/29,23.0,8,1,17.8,8,1,63,8,1
2011/9/30,18.8,8,1,16.3,8,1,81,8,1
2012/5/1,25.4,8,1,18.0,8,1,50,8,1
2012/5/2,23.2,8,1,17.1,8,1,69,8,1
2012/5/3,17.7,8,1,15.0,8,1,81,8,1
2012/5/4,15.0,8,1,13.5,8,1,91,8,1
2012/5/5,14.1,8,1,12.6,8,1,80,8,1
2012/5/6,18.0,8,1,12.7,8,1,67,8,1
2012/5/7,15.5,8,1,11.8,8,1,75,8,1
2012/5/8,19.9,8,1,13.3,8,1,66,8,1
2012/5/9,17.0,8,1,11.9,8,1,75,8,1
2012/5/10,14.1,8,1,10.8,8,1,75,8,1
2012/5/11,13.3,8,1,8.8,8,1,64,8,1
2012/5/12,9.1,8,1,6.7,8,1,73,8,1
2012/5/13,13.5,8,1,9.9,8,1,56,8,1
2012/5/14,17.4,8,1,12.0,8,1,67,8,1
2012/5/15,13.6,8,1,11.7,8,1,78,8,1
2012/5/16,13.6,8,1,11.6,8,1,87,8,1
2012/5/17,19.0,8,1,13.5,8,1,70,8,1
2012/5/18,16.8,8,1,12.0,8,1,75,8,1
2012/5/19,15.1,8,1,11.5,8,1,73,8,1
2012/5/20,20.1,8,1,13.3,8,1,69,8,1
2012/5/21,21.6,8,1,13.8,8,1,70,8,1
2012/5/22,23.9,8,1,16.1,8,1,52,8,1
2012/5/23,20.5,8,1,15.4,8,1,63,8,1
2012/5/24,21.2,8,1,16.3,8,1,61,8,1
2012/5/25,25.8,8,1,16.5,8,1,68,8,1
2012/5/26,17.7,8,1,14.2,8,1,74,8,1
2012/5/27,13.5,8,1,10.9,8,1,74,8,1
2012/5/28,16.5,8,1,11.7,8,1,66,8,1
2012/5/29,18.6,8,1,13.5,8,1,76,8,1
2012/5/30,18.4,8,1,13.3,8,1,81,8,1
2012/5/31,18.4,8,1,14.2,8,1,75,8,1
2012/6/1,17.2,8,1,14.0,8,1,84,8,1
2012/6/2,20.6,8,1,14.7,8,1,73,8,1
2012/6/3,20.0,8,1,14.1,8,1,72,8,1
2012/6/4,25.4,8,1,17.4,8,1,68,8,1
2012/6/5,26.1,8,1,19.0,8,1,63,8,1
2012/6/6,22.5,8,1,18.0,8,1,73,8,1
2012/6/7,23.4,8,1,17.4,8,1,83,8,1
2012/6/8,23.5,8,1,18.1,8,1,75,8,1
2012/6/9,20.0,8,1,17.4,8,1,73,8,1
2012/6/10,24.1,8,1,18.4,8,1,76,8,1
2012/6/11,20.9,8,1,17.0,8,1,78,8,1
2012/6/12,18.8,8,1,15.0,8,1,62,8,1
2012/6/13,18.7,8,1,13.3,8,1,61,8,1
2012/6/14,19.2,8,1,13.6,8,1,68,8,1
2012/6/15,24.5,8,1,16.1,8,1,64,8,1
2012/6/16,20.3,8,1,16.4,8,1,70,8,1
2012/6/17,17.3,8,1,16.4,8,1,87,8,1
2012/6/18,20.8,8,1,17.4,8,1,82,8,1
2012/6/19,21.7,8,1,17.5,8,1,73,8,1
2012/6/20,17.2,8,1,15.1,8,1,79,8,1
2012/6/21,18.9,8,1,15.8,8,1,71,8,1
2012/6/22,16.9,8,1,14.3,8,1,88,8,1
2012/6/23,18.9,8,1,15.3,8,1,83,8,1
2012/6/24,20.2,8,1,16.8,8,1,77,8,1
2012/6/25,23.6,8,1,18.0,8,1,76,8,1
2012/6/26,25.9,8,1,19.0,8,1,69,8,1
2012/6/27,27.6,8,1,20.1,8,1,60,8,1
2012/6/28,28.9,8,1,21.7,8,1,48,8,1
2012/6/29,29.6,8,1,22.1,8,1,58,8,1
2012/6/30,30.0,8,1,22.3,8,1,60,8,1
2012/7/1,25.2,8,1,21.5,8,1,54,8,1
2012/7/2,24.2,8,1,21.1,8,1,75,8,1
2012/7/3,28.0,8,1,21.7,8,1,74,8,1
2012/7/4,26.3,8,1,20.9,8,1,77,8,1
2012/7/5,24.9,8,1,21.1,8,1,81,8,1
2012/7/6,24.8,8,1,21.1,8,1,80,8,1
2012/7/7,26.2,8,1,21.8,8,1,74,8,1
2012/7/8,24.9,8,1,21.1,8,1,77,8,1
2012/7/9,22.4,8,1,19.7,8,1,84,8,1
2012/7/10,22.8,8,1,19.3,8,1,77,8,1
2012/7/11,28.9,8,1,22.2,8,1,73,8,1
2012/7/12,21.3,8,1,19.9,8,1,93,8,1
2012/7/13,26.0,8,1,21.6,8,1,76,8,1
2012/7/14,19.1,8,1,16.8,8,1,78,8,1
2012/7/15,23.6,8,1,19.0,8,1,75,8,1
2012/7/16,25.4,8,1,20.0,8,1,80,8,1
2012/7/17,25.2,8,1,21.0,8,1,73,8,1
2012/7/18,31.0,8,1,22.8,8,1,69,8,1
2012/7/19,23.8,8,1,20.4,8,1,65,8,1
2012/7/20,26.0,8,1,19.8,8,1,68,8,1
2012/7/21,25.9,8,1,20.0,8,1,71,8,1
2012/7/22,24.3,8,1,20.1,8,1,73,8,1
2012/7/23,24.8,8,1,20.4,8,1,71,8,1
2012/7/24,27.6,8,1,22.2,8,1,75,8,1
2012/7/25,27.9,8,1,23.7,8,1,77,8,1
2012/7/26,30.1,8,1,23.4,8,1,81,8,1
2012/7/27,32.5,8,1,27.1,8,1,67,8,1
2012/7/28,32.3,8,1,26.6,8,1,69,8,1
2012/7/29,31.3,8,1,24.5,8,1,72,8,1
2012/7/30,32.3,8,1,27.0,8,1,67,8,1
2012/7/31,30.7,8,1,26.5,8,1,74,8,1
2012/8/1,27.4,8,1,22.6,8,1,87,8,1
2012/8/2,22.8,8,1,20.0,8,1,82,8,1
2012/8/3,26.6,8,1,21.6,8,1,75,8,1
2012/8/4,23.9,8,1,20.9,8,1,73,8,1
2012/8/5,24.6,8,1,22.1,8,1,84,8,1
2012/8/6,25.0,8,1,21.4,8,1,84,8,1
2012/8/7,23.3,8,1,19.9,8,1,71,8,1
2012/8/8,24.8,8,1,21.1,8,1,73,8,1
2012/8/9,28.9,8,1,23.7,8,1,67,8,1
2012/8/10,27.4,8,1,23.1,8,1,79,8,1
2012/8/11,27.1,8,1,23.6,8,1,80,8,1
2012/8/12,27.9,8,1,24.0,8,1,73,8,1
2012/8/13,23.5,8,1,22.1,8,1,87,8,1
2012/8/14,26.8,8,1,22.3,8,1,65,8,1
2012/8/15,27.6,8,1,22.0,8,1,62,8,1
2012/8/16,23.7,8,1,21.4,8,1,87,8,1
2012/8/17,23.9,8,1,21.4,8,1,82,8,1
2012/8/18,26.1,8,1,22.7,8,1,79,8,1
2012/8/19,28.4,8,1,24.0,8,1,77,8,1
2012/8/20,27.4,8,1,24.8,8,1,88,8,1
2012/8/21,32.9,8,1,27.9,8,1,69,8,1
2012/8/22,32.1,8,1,27.0,8,1,69,8,1
2012/8/23,25.5,8,1,22.8,8,1,81,8,1
2012/8/24,25.6,8,1,23.0,8,1,81,8,1
2012/8/25,30.5,8,1,24.7,8,1,79,8,1
2012/8/26,29.9,8,1,26.1,8,1,72,8,1
2012/8/27,30.7,8,1,25.4,8,1,77,8,1
2012/8/28,30.0,8,1,25.0,8,1,77,8,1
2012/8/29,28.9,8,1,25.3,8,1,79,8,1
2012/8/30,32.9,8,1,28.0,8,1,60,8,1
2012/8/31,28.3,8,1,24.8,8,1,67,8,1
2012/9/1,29.9,8,1,26.1,8,1,72,8,1
2012/9/2,30.8,8,1,25.4,8,1,70,8,1
2012/9/3,31.6,8,1,26.6,8,1,69,8,1
2012/9/4,30.6,8,1,26.2,8,1,72,8,1
2012/9/5,28.8,8,1,25.1,8,1,63,8,1
2012/9/6,25.0,8,1,23.2,8,1,81,8,1
2012/9/7,29.0,8,1,23.1,8,1,61,8,1
2012/9/8,29.7,8,1,23.4,8,1,55,8,1
2012/9/9,22.8,8,1,21.7,8,1,90,8,1
2012/9/10,24.0,8,1,22.1,8,1,90,8,1
2012/9/11,24.5,8,1,21.8,8,1,89,8,1
2012/9/12,30.3,8,1,23.8,8,1,79,8,1
2012/9/13,29.4,8,1,23.4,8,1,74,8,1
2012/9/14,29.8,8,1,24.5,8,1,71,8,1
2012/9/15,30.7,8,1,25.4,8,1,74,8,1
2012/9/16,24.6,8,1,22.6,8,1,82,8,1
2012/9/17,27.6,8,1,24.1,8,1,80,8,1
2012/9/18,30.5,8,1,26.7,8,1,76,8,1
2012/9/19,29.2,8,1,25.6,8,1,76,8,1
2012/9/20,26.8,8,1,21.8,8,1,69,8,1
2012/9/21,25.1,8,1,20.3,8,1,64,8,1
2012/9/22,26.5,8,1,19.9,8,1,66,8,1
2012/9/23,25.9,8,1,19.5,8,1,71,8,1
2012/9/24,22.7,8,1,19.2,8,1,70,8,1
2012/9/25,18.7,8,1,16.3,8,1,80,8,1
2012/9/26,22.0,8,1,16.9,8,1,75,8,1
2012/9/27,20.5,8,1,17.4,8,1,76,8,1
2012/9/28,21.7,8,1,18.5,8,1,68,8,1
2012/9/29,25.4,8,1,20.8,8,1,70,8,1
2012/9/30,22.3,8,1,20.2,8,1,74,8,1
2013/5/1,7.8,8,1,5.5,8,1,79,8,1
2013/5/2,7.0,8,1,4.6,8,1,71,8,1
2013/5/3,5.8,8,1,4.6,8,1,84,8,1
2013/5/4,8.4,8,1,5.9,8,1,86,8,1
2013/5/5,12.3,8,1,7.8,8,1,79,8,1
2013/5/6,7.7,8,1,6.0,8,1,81,8,1
2013/5/7,9.1,8,1,5.0,8,1,56,8,1
2013/5/8,12.5,8,1,7.8,8,1,55,8,1
2013/5/9,17.7,8,1,11.2,8,1,61,8,1
2013/5/10,18.3,8,1,12.9,8,1,57,8,1
2013/5/11,11.9,8,1,9.8,8,1,77,8,1
2013/5/12,14.5,8,1,10.7,8,1,79,8,1
2013/5/13,11.1,8,1,8.7,8,1,76,8,1
2013/5/14,13.7,8,1,10.3,8,1,79,8,1
2013/5/15,12.7,8,1,9.6,8,1,80,8,1
2013/5/16,14.1,8,1,9.7,8,1,84,8,1
2013/5/17,21.0,8,1,12.1,8,1,69,8,1
2013/5/18,20.2,8,1,12.8,8,1,70,8,1
2013/5/19,19.3,8,1,12.8,8,1,67,8,1
2013/5/20,14.6,8,1,12.7,8,1,78,8,1
2013/5/21,19.9,8,1,14.7,8,1,69,8,1
2013/5/22,18.9,8,1,13.0,8,1,81,8,1
2013/5/23,11.2,8,1,9.7,8,1,90,8,1
2013/5/24,14.2,8,1,10.0,8,1,74,8,1
2013/5/25,18.4,8,1,13.3,8,1,66,8,1
2013/5/26,23.1,8,1,16.4,8,1,61,8,1
2013/5/27,25.6,8,1,19.6,8,1,54,8,1
2013/5/28,26.4,8,1,20.0,8,1,60,8,1
2013/5/29,17.9,8,1,15.3,8,1,78,8,1
2013/5/30,24.2,8,1,16.9,8,1,71,8,1
2013/5/31,27.6,8,1,20.7,8,1,52,8,1
2013/6/1,29.2,8,1,20.0,8,1,56,8,1
2013/6/2,22.3,8,1,16.6,8,1,69,8,1
2013/6/3,16.1,8,1,13.3,8,1,76,8,1
2013/6/4,17.7,8,1,13.0,8,1,74,8,1
2013/6/5,17.3,8,1,13.2,8,1,79,8,1
2013/6/6,19.5,8,1,14.8,8,1,78,8,1
2013/6/7,26.2,8,1,18.1,8,1,64,8,1
2013/6/8,27.0,8,1,19.5,8,1,59,8,1
2013/6/9,25.2,8,1,17.1,8,1,73,8,1
2013/6/10,26.0,8,1,18.4,8,1,72,8,1
2013/6/11,27.1,8,1,20.0,8,1,67,8,1
2013/6/12,24.3,8,1,18.8,8,1,66,8,1
2013/6/13,26.7,8,1,20.8,8,1,69,8,1
2013/6/14,22.9,8,1,20.6,8,1,84,8,1
2013/6/15,25.5,8,1,20.0,8,1,87,8,1
2013/6/16,26.0,8,1,19.8,8,1,83,8,1
2013/6/17,24.7,8,1,18.9,8,1,79,8,1
2013/6/18,24.5,8,1,18.5,8,1,81,8,1
2013/6/19,23.0,8,1,18.3,8,1,86,8,1
2013/6/20,19.1,8,1,15.9,8,1,87,8,1
2013/6/21,16.7,8,1,15.0,8,1,84,8,1
2013/6/22,17.1,8,1,14.8,8,1,89,8,1
2013/6/23,25.4,8,1,18.6,8,1,70,8,1
2013/6/24,26.7,8,1,19.8,8,1,73,8,1
2013/6/25,24.9,8,1,20.2,8,1,75,8,1
2013/6/26,24.2,8,1,18.8,8,1,81,8,1
2013/6/27,16.9,8,1,15.3,8,1,91,8,1
2013/6/28,20.3,8,1,15.6,8,1,76,8,1
2013/6/29,22.5,8,1,16.4,8,1,69,8,1
2013/6/30,24.5,8,1,18.9,8,1,69,8,1
2013/7/1,27.7,8,1,21.9,8,1,70,8,1
2013/7/2,29.5,8,1,22.5,8,1,70,8,1
2013/7/3,20.2,8,1,18.9,8,1,85,8,1
2013/7/4,24.5,8,1,21.1,8,1,80,8,1
2013/7/5,25.3,8,1,22.3,8,1,83,8,1
2013/7/6,27.1,8,1,23.2,8,1,80,8,1
2013/7/7,30.8,8,1,23.9,8,1,78,8,1
2013/7/8,33.1,8,1,24.5,8,1,74,8,1
2013/7/9,29.8,8,1,26.1,8,1,76,8,1
2013/7/10,26.6,8,1,23.1,8,1,84,8,1
2013/7/11,27.0,8,1,22.3,8,1,77,8,1
2013/7/12,28.3,8,1,21.8,8,1,76,8,1
2013/7/13,27.6,8,1,22.6,8,1,70,8,1
2013/7/14,27.9,8,1,22.4,8,1,74,8,1
2013/7/15,27.0,8,1,22.8,8,1,76,8,1
2013/7/16,26.5,8,1,22.4,8,1,79,8,1
2013/7/17,25.1,8,1,20.7,8,1,73,8,1
2013/7/18,25.7,8,1,20.6,8,1,63,8,1
2013/7/19,27.0,8,1,21.0,8,1,69,8,1
2013/7/20,28.9,8,1,22.1,8,1,71,8,1
2013/7/21,29.8,8,1,23.0,8,1,63,8,1
2013/7/22,26.3,8,1,21.9,8,1,73,8,1
2013/7/23,31.2,8,1,24.0,8,1,67,8,1
2013/7/24,26.7,8,1,22.7,8,1,75,8,1
2013/7/25,19.8,8,1,18.7,8,1,80,8,1
2013/7/26,26.4,8,1,22.2,8,1,74,8,1
2013/7/27,24.1,8,1,21.6,8,1,77,8,1
2013/7/28,24.1,8,1,22.2,8,1,81,8,1
2013/7/29,26.3,8,1,23.1,8,1,84,8,1
2013/7/30,30.1,8,1,25.3,8,1,73,8,1
2013/7/31,29.1,8,1,25.1,8,1,72,8,1
2013/8/1,26.7,8,1,23.1,8,1,81,8,1
2013/8/2,26.3,8,1,21.4,8,1,77,8,1
2013/8/3,24.0,8,1,20.8,8,1,75,8,1
2013/8/4,27.0,8,1,22.0,8,1,70,8,1
2013/8/5,27.2,8,1,23.2,8,1,71,8,1
2013/8/6,31.1,8,1,26.3,8,1,75,8,1
2013/8/7,31.0,8,1,25.5,8,1,80,8,1
2013/8/8,28.9,8,1,25.9,8,1,75,8,1
2013/8/9,24.7,8,1,23.2,8,1,88,8,1
2013/8/10,26.5,8,1,23.9,8,1,86,8,1
2013/8/11,28.3,8,1,24.2,8,1,84,8,1
2013/8/12,28.6,8,1,24.1,8,1,85,8,1
2013/8/13,25.8,8,1,23.4,8,1,81,8,1
2013/8/14,28.3,8,1,24.6,8,1,81,8,1
2013/8/15,29.5,8,1,25.7,8,1,81,8,1
2013/8/16,31.2,8,1,26.7,8,1,75,8,1
2013/8/17,27.3,8,1,25.1,8,1,87,8,1
2013/8/18,31.2,8,1,26.0,8,1,83,8,1
2013/8/19,31.7,8,1,25.9,8,1,79,8,1
2013/8/20,28.8,8,1,23.5,8,1,79,8,1
2013/8/21,25.4,8,1,22.1,8,1,81,8,1
2013/8/22,27.2,8,1,23.1,8,1,78,8,1
2013/8/23,27.4,8,1,23.7,8,1,74,8,1
2013/8/24,24.9,8,1,21.6,8,1,85,8,1
2013/8/25,25.9,8,1,21.3,8,1,84,8,1
2013/8/26,24.3,8,1,21.0,8,1,74,8,1
2013/8/27,26.7,8,1,20.0,8,1,81,8,1
2013/8/28,23.6,8,1,19.9,8,1,64,8,1
2013/8/29,24.4,8,1,20.1,8,1,65,8,1
2013/8/30,22.5,8,1,19.3,8,1,91,8,1
2013/8/31,23.3,8,1,19.1,8,1,89,8,1
2013/9/1,24.5,8,1,19.8,8,1,83,8,1
2013/9/2,22.5,8,1,20.2,8,1,85,8,1
2013/9/3,23.0,8,1,20.6,8,1,90,8,1
2013/9/4,24.4,8,1,21.3,8,1,95,8,1
2013/9/5,25.7,8,1,22.4,8,1,62,8,1
2013/9/6,21.5,8,1,18.2,8,1,79,8,1
2013/9/7,21.4,8,1,19.0,8,1,83,8,1
2013/9/8,24.5,8,1,20.0,8,1,78,8,1
2013/9/9,24.6,8,1,19.9,8,1,74,8,1
2013/9/10,26.5,8,1,20.5,8,1,71,8,1
2013/9/11,26.0,8,1,21.2,8,1,76,8,1
2013/9/12,25.6,8,1,21.5,8,1,77,8,1
2013/9/13,28.6,8,1,21.2,8,1,60,8,1
2013/9/14,28.4,8,1,23.4,8,1,84,8,1
2013/9/15,24.3,8,1,21.9,8,1,87,8,1
2013/9/16,20.7,8,1,17.9,8,1,88,8,1
2013/9/17,24.8,8,1,19.2,8,1,49,8,1
2013/9/18,21.8,8,1,17.6,8,1,53,8,1
2013/9/19,21.6,8,1,17.3,8,1,50,8,1
2013/9/20,23.4,8,1,19.5,8,1,64,8,1
2013/9/21,23.8,8,1,19.6,8,1,65,8,1
2013/9/22,20.6,8,1,16.7,8,1,58,8,1
2013/9/23,21.7,8,1,16.1,8,1,73,8,1
2013/9/24,21.0,8,1,18.4,8,1,76,8,1
2013/9/25,15.8,8,1,14.6,8,1,88,8,1
2013/9/26,17.8,8,1,12.8,8,1,61,8,1
2013/9/27,18.9,8,1,12.8,8,1,59,8,1
2013/9/28,21.4,8,1,15.5,8,1,63,8,1
2013/9/29,22.9,8,1,18.5,8,1,71,8,1
2013/9/30,18.3,8,1,17.0,8,1,91,8,1
2014/5/1,18.3,8,1,14.2,8,1,76,8,1
2014/5/2,18.9,8,1,12.9,8,1,79,8,1
2014/5/3,21.6,8,1,13.2,8,1,68,8,1
2014/5/4,16.6,8,1,11.7,8,1,42,8,1
2014/5/5,19.6,8,1,12.4,8,1,55,8,1
2014/5/6,16.8,8,1,11.9,8,1,48,8,1
2014/5/7,18.2,8,1,12.5,8,1,50,8,1
2014/5/8,20.1,8,1,14.5,8,1,45,8,1
2014/5/9,15.9,8,1,12.6,8,1,77,8,1
2014/5/10,17.7,8,1,11.8,8,1,73,8,1
2014/5/11,24.7,8,1,15.5,8,1,50,8,1
2014/5/12,27.6,8,1,18.2,8,1,39,8,1
2014/5/13,20.0,8,1,15.0,8,1,65,8,1
2014/5/14,23.7,8,1,16.7,8,1,64,8,1
2014/5/15,19.4,8,1,14.6,8,1,74,8,1
2014/5/16,13.6,8,1,10.3,8,1,91,8,1
2014/5/17,8.7,8,1,7.0,8,1,81,8,1
2014/5/18,12.0,8,1,8.5,8,1,79,8,1
2014/5/19,19.7,8,1,12.3,8,1,67,8,1
2014/5/20,22.6,8,1,14.9,8,1,61,8,1
2014/5/21,20.2,8,1,15.7,8,1,77,8,1
2014/5/22,19.1,8,1,14.1,8,1,65,8,1
2014/5/23,15.5,8,1,11.3,8,1,63,8,1
2014/5/24,17.7,8,1,12.7,8,1,68,8,1
2014/5/25,15.3,8,1,11.4,8,1,83,8,1
2014/5/26,14.4,8,1,12.1,8,1,73,8,1
2014/5/27,22.8,8,1,16.2,8,1,71,8,1
2014/5/28,25.1,8,1,18.9,8,1,63,8,1
